"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Continue from TC-01 — select first profile and verify home screen shows Limited Free badges on thumbnails","25488","Free user — select profile → home shows Limited Free badges","tests.p1_smoke","2026-07-14","passed","2026-07-14","","Login","",""
"From home screen, open the side drawer and navigate to Watchlist. Verify the Watchlist screen loads and shows the expected tabs: following, my list, history.","171835","Watchlist screen — tabs visible","tests.p1_smoke","2026-07-14","passed","2026-07-14","","Watchlist","",""
"Navigate to Watchlist and tap the 'history' tab. Verify the history tab is selectable and the screen renders without crash. (Full watch-history population requires prior playback — this test verifies the tab is present and accessible.)","11966","TC-16 — Watch history tab appears on Watchlist screen","tests.p1_smoke","2026-07-14","passed","2026-07-14","","Watchlist","",""
"Verify free user can log in with email + password and reach the Switch Profile screen","86219","Free user — login → Switch Profile screen","tests.p1_smoke","2026-07-14","passed","2026-07-14","","Login","",""
"TC-23: D-pad to a card on home → OK → player launches full-screen.","16807","test_tc23_home_navigate_and_play","tests.p1_smoke","2026-07-14","passed","2026-07-14","","Home Navigation","",""
"Continue from TC-03 — select first profile and verify home screen shows VIP badges on thumbnails","18876","VIP user — select profile → home shows VIP badges","tests.p1_smoke","2026-07-14","passed","2026-07-14","","Login","",""
"From home screen, verify D-pad DOWN moves focus to new rows and D-pad RIGHT moves focus across cards within a row. Test covers at least 3 rows and 3 cards.","58672","TC-22 — Home screen D-pad navigates focus across rows and cards","tests.p1_smoke","2026-07-14","passed","2026-07-14","","Home Navigation","",""
"From home screen, press OK on focused content. Verify the player opens (page source becomes sparse = full-screen video active) within 20s and the app does not crash.","88810","TC-08 — Navigate to video → player loads in full-screen","tests.p1_smoke","2026-07-14","passed","2026-07-14","","Player","",""
"On Switch Profile screen, select a kids (non-parents) profile. Verify the app navigates directly to the home screen without asking for a PIN.","104288","TC-05a — Select kids profile → home loads, no PIN required","tests.p1_smoke","2026-07-14","passed","2026-07-14","","Profile Selection","",""
"From Switch Profile, tap Parents Area → PIN screen → enter correct PIN → navigates to Settings (parental gate passes)","90365","TC-05c — Parental gate — correct PIN grants access","tests.p1_smoke","2026-07-14","passed","2026-07-14","","Parental Gate","",""
"Record the baseline following count. Open a channel via Explore. Click Follow → verify 'Following'. Navigate to Watchlist → following tab → assert count increased. Cleanup: navigate back to channel → unfollow (non-fatal).","338179","TC-17 — Follow channel → verify count increases in Watchlist following tab","tests.p1_smoke","2026-07-14","passed","2026-07-14","","Watchlist","",""
"On Switch Profile screen, select a parents-type profile. Verify the app shows the parental PIN entry screen before granting access.","95940","TC-05b — Select parents profile → PIN screen appears","tests.p1_smoke","2026-07-14","passed","2026-07-14","","Profile Selection","",""
"Verify VIP user can log in with email + password and reach the Switch Profile screen","82882","VIP user — login → Switch Profile screen","tests.p1_smoke","2026-07-14","passed","2026-07-14","","Login","",""
"Login as free user, navigate home, find a VIP-only content card and tap it. Verify the VIP upgrade/comparison screen appears and the player does NOT launch.","147007","TC-07 — Free user taps VIP content → upgrade screen appears, video not playable","tests.p1_smoke","2026-07-14","passed","2026-07-14","","VIP Paywall","",""
"While in full-screen player, press Back. Verify the app leaves the player and lands on a content or home screen.","18384","TC-10 — Back button exits player → returns to content screen","tests.p1_smoke","2026-07-14","passed","2026-07-14","","Player","",""
"Navigate to a video, note its title. Enter the player and add the video to My List via D-pad blind navigation. Navigate to Watchlist → My List tab and verify the video title appears. Cleanup: open the video from My List → enter player → remove it.","357409","TC-15 — Add video to My List via player overlay → verify in Watchlist → remove","tests.p1_smoke","2026-07-14","passed","2026-07-14","","Watchlist","",""
"Submit a valid email with a wrong password. Verify an error modal appears ('Sorry') and the user remains on the login screen (Switch Profile screen does NOT appear).","76125","TC-06 — Wrong password → error modal appears, user stays on login screen","tests.p1_smoke","2026-07-14","passed","2026-07-14","","Authentication","",""
"From Switch Profile, tap Parents Area → PIN screen → enter wrong PIN → 'Incorrect PIN' error shown, screen does not navigate away","81966","TC-05d — Parental gate — wrong PIN shows error","tests.p1_smoke","2026-07-14","passed","2026-07-14","","Parental Gate","",""
"While in full-screen player, press OK multiple times (pause/resume). Verify app stays in full-screen player mode without crashing or navigating away. Screenshots are attached for visual verification of pause/resume state.","18555","TC-09 — OK press during playback does not crash player","tests.p1_smoke","2026-07-14","passed","2026-07-14","","Player","",""
"","120502","test_channel_detail_page_source","tests.p1_smoke","2026-07-14","passed","2026-07-14","","test_debug_cards","",""
